total files: 53
[1/53] OK  assets/compare-maximal.png  (2132687B, http=200)
[2/53] OK  assets/compare-minimal.png  (1344660B, http=200)
[3/53] OK  assets/cover/detail-1-1.jpg  (172965B, http=200)
[4/53] OK  assets/cover/detail-1-2.jpg  (218666B, http=200)
[5/53] OK  assets/cover/detail-1-3.jpg  (115708B, http=200)
[6/53] OK  assets/cover/sensory-1-1.jpg  (211971B, http=200)
[7/53] OK  assets/cover/sensory-1-2.jpg  (259039B, http=200)
[8/53] OK  assets/cover/sensory-1-3.jpg  (292630B, http=200)
[9/53] OK  assets/cover/sensory-2-1.jpg  (159103B, http=200)
[10/53] OK  assets/cover/sensory-2-2.jpg  (230703B, http=200)
[11/53] OK  assets/cover/sensory-2-3.jpg  (239622B, http=200)
[12/53] OK  assets/cover/subject-1-1.jpg  (171633B, http=200)
[13/53] OK  assets/cover/subject-1-2.jpg  (158446B, http=200)
[14/53] OK  assets/cover/subject-1-3.jpg  (217552B, http=200)
[15/53] OK  assets/cover/subject-2-1.jpg  (110512B, http=200)
[16/53] OK  assets/cover/subject-2-2.jpg  (156384B, http=200)
[17/53] OK  assets/cover/subject-2-3.jpg  (233007B, http=200)
[18/53] OK  assets/cover/subject-3-1.jpg  (155060B, http=200)
[19/53] OK  assets/cover/subject-3-2.jpg  (125341B, http=200)
[20/53] OK  assets/cover/subject-3-3.jpg  (250909B, http=200)
[21/53] OK  assets/cover/subject-4-1.jpg  (155265B, http=200)
[22/53] OK  assets/cover/subject-4-2.jpg  (249567B, http=200)
[23/53] OK  assets/cover/subject-4-3.jpg  (153371B, http=200)
[24/53] OK  assets/hero-01.png  (1968616B, http=200)
[25/53] OK  assets/hero-grid.jpg  (326908B, http=200)
[26/53] OK  assets/ref-11.webp  (143116B, http=200)
[27/53] OK  assets/ref-14.webp  (21400B, http=200)
[28/53] OK  assets/ref-17.webp  (155102B, http=200)
[29/53] OK  assets/ref-20.webp  (241624B, http=200)
[30/53] OK  assets/ref-23.webp  (210936B, http=200)
[31/53] OK  assets/ref-26.webp  (159250B, http=200)
[32/53] OK  assets/ref-29.webp  (150478B, http=200)
[33/53] OK  assets/ref-32.webp  (363462B, http=200)
[34/53] OK  assets/ref-35.webp  (91964B, http=200)
[35/53] OK  assets/ref-38.webp  (40112B, http=200)
[36/53] OK  assets/ref-41.webp  (78146B, http=200)
[37/53] OK  assets/ref-44.webp  (169024B, http=200)
[38/53] OK  assets/ref-47.webp  (273298B, http=200)
[39/53] OK  assets/ref-50.webp  (120872B, http=200)
[40/53] OK  assets/ref-53.webp  (309498B, http=200)
[41/53] OK  assets/ref-56.webp  (145630B, http=201)
[42/53] OK  assets/ref-59.webp  (116758B, http=201)
[43/53] OK  assets/ref-62.webp  (224358B, http=201)
[44/53] OK  assets/ref-65.webp  (43380B, http=201)
[45/53] OK  assets/ref-68.webp  (91326B, http=201)
[46/53] OK  assets/ref-71.webp  (264380B, http=201)
[47/53] OK  assets/ref-74.webp  (206984B, http=201)
[48/53] OK  assets/ref-77.webp  (624760B, http=201)
[49/53] OK  assets/ref-80.webp  (357326B, http=201)
[50/53] OK  assets/ref-83.webp  (213562B, http=201)
[51/53] OK  assets/ref-86.webp  (249694B, http=201)
[52/53] OK  index.html  (33172B, http=200)
